2021-1017,Stephen Curry,BSCS,2nd Year,Female
2021-1018,Velma Dejesus,BSCS,2nd Year,Female
2021-1019,Gerrard Solomon,BSCS,2nd Year,Male
2021-1020,Maxine Nolan,BSIT,2nd Year,Female
2022-1021,Eva Bowes,BSCS,2nd Year,Female
2021-1038,Aron Huynh,BSIT,2nd Year,Male
2021-1039,Blessing Munro,BSCS,2nd Year,Female
2021-1040,Gracie Howard,BSCS,2nd Year,Female
2021-1041,Maariya Smyth,BSIT,2nd Year,Female
2021-1042,Sami Christie,BSCS,2nd Year,Female
2021-1043,Crystal Noble,BSCS,2nd Year,Female
2021-1044,Kaylie Owens,BSIT,2nd Year,Female
2021-1045,Ricardo Milos,BSCS,2nd Year,Male
2021-1046,Tess Dunne,BSCS,2nd Year,Female
2022-1047,Archibald Robson,BSIT,2nd Year,Male
2022-0005,Spencer Dinwiddie,BSIT,2nd Year,Female
2023-0006,Anthony Davis,BSCS,5th Year,Other
2024-0009,Ichigo Kurosaki,BSCS,2nd Year,Female
2024-0010,Naruto Uzumaki,BSCS,2nd Year,Male
2024-0011,Monkey D. Luffy,BSIT,2nd Year,Male
2024-0014,Soren Kirkgard,BSIT,2nd Year,Male
2024-0016,Aristotle Plato,BSCS,2nd Year,Male
2024-0017,Stephen Curry,BSCS,2nd Year,Female
2024-0018,Velma Dejesus,BSCS,2nd Year,Female
2024-0019,Gerrard Solomon,BSCS,2nd Year,Male
2024-0020,Maxine Nolan,BSIT,2nd Year,Female
2024-0021,Eva Bowes,BSCS,2nd Year,Female
2024-0038,Aron Huynh,BSIT,2nd Year,Male
2024-0039,Blessing Munro,BSCS,2nd Year,Female
2024-0040,Gracie Howard,BSCS,2nd Year,Female
2024-0041,Maariya Smyth,BSIT,2nd Year,Female
2024-0042,Sami Christie,BSCS,2nd Year,Female
2024-0043,Crystal Noble,BSCS,2nd Year,Female
2024-0044,Kaylie Owens,N/A,2nd Year,Female
2024-0045,Ricardo Milos,BSCI,2nd Year,Male
2024-0046,Tess Dunne,BSCS,2nd Year,Female
2024-0005,Spencer Dinwiddie,BSIT,2nd Year,Female
2024-0006,Anthony Davis,BSCS,5th Year,Other
2024-0009,Ichigo Kurosaki,BSCS,2nd Year,Female
2024-0010,Naruto Uzumaki,BSCS,2nd Year,Male
2024-0011,Monkey D. Luffy,BSIT,2nd Year,Male
2024-0014,Soren Kirkgard,BSIT,2nd Year,Male
2024-0016,Aristotle Plato,BSCS,2nd Year,Male
2024-0017,Stephen Curry,BSCS,2nd Year,Female
2024-0018,Velma Dejesus,BSCS,2nd Year,Female
2024-0019,Gerrard Solomon,BSCS,2nd Year,Male
2024-0020,Maxine Nolan,BSIT,2nd Year,Female
2024-0021,Eva Bowes,BSCS,2nd Year,Female
2024-0038,Aron Huynh,BSIT,2nd Year,Male
2024-0039,Blessing Munro,BSCS,2nd Year,Female
2024-0040,Gracie Howard,BSCS,2nd Year,Female
2024-0041,Maariya Smyth,BSIT,2nd Year,Female
2024-0042,Sami Christie,BSCS,2nd Year,Female
2024-0043,Crystal Noble,BSCS,2nd Year,Female
2024-0044,Kaylie Owens,N/A,2nd Year,Female
2024-0045,Ricardo Milos,N/A,2nd Year,Male
2024-0046,Tess Dunne,BSCS,2nd Year,Female
2020-1111,asd,BSCS,3rd Year,Male
2020-0111,asdasd,BSIT,1st Year,Female
2020-2331,asdasd,BSIT,1st Year,Male
2020-0500,asdasd,BSCS,1st Year,Male
2020-0001,bocja,BSIT,1st Year,Male
2029-0001,wa,BSIT,3rd Year,Male
2023-0001,tast,BSIT,1st Year,Male
2389-0923,test number 3,BSIT,3rd Year,Male
2026-0001,asdasd,BSIS,1st Year,Male
2999-0000,asdasdasd,BSIT,1st Year,Female
2028-0001,asdasd,BSCA,Irregular,Female
2111-1111,peter parker,BSCA,3rd Year,Female
